text,created_at,retweet_count,favorite_count
“John Solomon: As Russia Collusion fades Ukrainian plot to help Clinton emerges.” @seanhannity  @FoxNews,3/21/19,3661,10296
“The reason we have the Special Counsel investigation is that James Comey (a dirty cop) leaked his memos to a friend who leaked them to the press on purpose.” @KennedyNation Totally illegal!,3/21/19,6278,21813
https://t.co/UhTjBuWY2h,3/21/19,5080,17185
Leaving the GREAT STATE of OHIO for the @WhiteHouse. A really great day!,3/21/19,7851,44786
https://t.co/ssJNhlTMzy,3/20/19,9555,32962
ISIS Caliphate two years ago in red vs. ISIS Caliphate TODAY. (Was even worse in November 2016 before I took office). https://t.co/MUgfex4rCj,3/20/19,13338,42826
Really beautiful to see! https://t.co/DKq2TIeiSs,3/20/19,20621,89766
Great news from @Ford! They are investing nearly $1 BILLION in Flat Rock Michigan for auto production on top of a $1 BILLION investment last month in a facility outside of Chicago. Companies are pouring back into the United States - they want to be where the action is!,3/20/19,16339,62403
I am thrilled to be here in Ohio with the hardworking men and women of the Lima Army Tank Plant! We are here today to celebrate a resounding victory for all of you for Northwest Ohio for our GREAT MILITARY and for our entire Country...https://t.co/ZWbjX0Be9m,3/20/19,15351,60480
George Conway often referred to as Mr. Kellyanne Conway by those who know him is VERY jealous of his wife’s success &amp; angry that I with her help didn’t give him the job he so desperately wanted. I barely know him but just take a look a stone cold LOSER &amp; husband from hell!,3/20/19,22654,105096
The Democrats are getting very “strange.” They now want to change the voting age to 16 abolish the Electoral College and Increase significantly the number of Supreme Court Justices. Actually you’ve got to win it at the Ballot Box!,3/20/19,28625,111089
Not a good situation! https://t.co/uaMcSrX4yM,3/20/19,21304,72520
....just the large States - the Cities would end up running the Country. Smaller States &amp; the entire Midwest would end up losing all power - &amp; we can’t let that happen. I used to like the idea of the Popular Vote but now realize the Electoral College is far better for the U.S.A.,3/20/19,26929,111279
Campaigning for the Popular Vote is much easier &amp; different than campaigning for the Electoral College. It’s like training for the 100 yard dash vs. a marathon. The brilliance of the Electoral College is that you must go to many States to win. With the Popular Vote you go to....,3/20/19,21888,84401
Thank you @JesseBWatters could not have said it any better myself! https://t.co/HirL10zwZl,3/19/19,33598,103134
Amazingly CNN just released a poll at 71% saying that the economy is in the best shape since 2001 18 years! WOW is CNN becoming a believer?,3/19/19,34347,159521
https://t.co/95I4towyEP,3/19/19,17495,54532
I will be looking into this! #StopTheBias https://t.co/ZTWQolvmdM,3/19/19,22141,72173
Facebook Google and Twitter not to mention the Corrupt Media are sooo on the side of the Radical Left Democrats. But fear not we will win anyway just like we did before! #MAGA,3/19/19,38450,151614
“You can’t dispel this mood of positive energy.”  @Varneyco  The Economy is Great!,3/19/19,15832,72639
A total loser! https://t.co/vm3Vv2f9jf,3/19/19,15422,65934
