text,created_at,retweet_count,favorite_count
Russians are playing @CNN and @NBCNews for such fools - funny to watch they don't have a clue! @FoxNews totally gets it!,12/30/16,23213,84254
Join @AmerIcan32 founded by Hall of Fame legend @JimBrownNFL32 on 1/19/2017 in Washington D.C.… https://t.co/9WJZ8iTCQV,12/30/16,7366,25336
Great move on delay (by V. Putin) - I always knew he was very smart!,12/30/16,34415,97669
My Administration will follow two simple rules: https://t.co/ZWk0j4H8Qy,12/29/16,11330,45609
'Economists say Trump delivered hope' https://t.co/SjGBgglIuQ,12/28/16,13919,51857
not anymore. The beginning of the end was the horrible Iran deal and now this (U.N.)! Stay strong Israel January 20th is fast approaching!,12/28/16,34542,117710
We cannot continue to let Israel be treated with such total disdain and disrespect. They used to have a great friend in the U.S. but.......,12/28/16,30237,106626
Doing my best to disregard the many inflammatory President O statements and roadblocks.Thought it was going to be a smooth transition - NOT!,12/28/16,31799,117900
The U.S. Consumer Confidence Index for December surged nearly four points to 113.7 THE HIGHEST LEVEL IN MORE THAN 15 YEARS! Thanks Donald!,12/28/16,19159,78521
President Obama campaigned hard (and personally) in the very important swing states and lost.The voters wanted to MAKE AMERICA GREAT AGAIN!,12/27/16,23222,99838
The DJT Foundation unlike most foundations never paid fees rent salaries or any expenses. 100% of money goes to wonderful charities!,12/27/16,15256,67470
I gave millions of dollars to DJT Foundation raised or recieved millions more ALL of which is given to charity and media won't report!,12/27/16,17414,71643
The world was gloomy before I won - there was no hope. Now the market is up nearly 10% and Christmas spending is over a trillion dollars!,12/26/16,30090,128341
The United Nations has such great potential but right now it is just a club for people to get together talk and have a good time. So sad!,12/26/16,22128,77746
President Obama said that he thinks he would have won against me. He should say that but I say NO WAY! - jobs leaving ISIS OCare etc.,12/26/16,22240,91300
Merry Christmas and a very very very  very Happy New Year to everyone!,12/25/16,50193,212467
#MerryChristmas https://t.co/5GgDmJrGMS,12/25/16,42571,151610
".@FoxNews - ""Objectified"" tonight at 10:00 P.M. Enjoy!",12/25/16,1482,5871
Happy #Hanukkah https://t.co/UvZwtykV1E,12/24/16,22072,84565
The big loss yesterday for Israel in the United Nations will make it much harder to negotiate peace.Too bad but we will get it done anyway!,12/24/16,19826,83507
".@NBCNews purposely left out this part of my nuclear qoute: ""until such time as the world comes to its senses regarding nukes.""  Dishonest!",12/24/16,16670,62856
"Vladimir Putin said today about Hillary and Dems: ""In my opinion it is humiliating. One must be able to lose with dignity.""  So true!",12/24/16,31749,112957
slaughter you. This is a purely religious threat which turned into reality. Such hatred! When will the U.S. and all countries fight back?,12/23/16,17989,65946
"The terrorist who killed so many people in Germany said just before crime ""by God's will we will slaughter you pigs I swear we will......",12/23/16,18801,51789
As to the U.N. things will be different after Jan. 20th.,12/23/16,33870,98907
my presidency. Isn't this a ridiculous shame? He loves these kids has raised millions of dollars for them and now must stop. Wrong answer!,12/23/16,14571,64566
My wonderful son Eric will no longer be allowed to raise money for children with cancer because of a possible conflict of interest with...,12/23/16,15510,54251
"The so-called ""A"" list celebrities are all wanting tixs to the inauguration but look what they did for Hillary NOTHING. I want the PEOPLE!",12/23/16,31424,120217
Based on the tremendous cost and cost overruns of the Lockheed Martin F-35 I have asked Boeing to price-out a comparable F-18 Super Hornet!,12/22/16,14954,62693
The United States must greatly strengthen and expand its nuclear capability until such time as the world comes to its senses regarding nukes,12/22/16,21281,72946
"Someone incorrectly stated that the phrase ""DRAIN THE SWAMP"" was no longer being used by me. Actually we will always be trying to DTS.",12/22/16,19444,74086
The resolution being considered at the United Nations Security Council regarding Israel should be vetoed....cont: https://t.co/s8rXKKZNF1,12/22/16,10377,35766
I met some really great Air Force GENERALS and Navy ADMIRALS today talking about airplane capability and pricing. Very impressive people!,12/22/16,13101,65961
I have not heard any of the pundits or commentators discussing the fact that I spent FAR LESS MONEY on the win than Hillary on the loss!,12/21/16,20374,82587
I would have done even better in the election if that is possible if the winner was based on popular vote - but would campaign differently,12/21/16,12051,54341
Campaigning to win the Electoral College is much more difficult &amp; sophisticated than the popular vote. Hillary focused on the wrong states!,12/21/16,16033,68734
Yes it is true - Carlos Slim the great businessman from Mexico called me about getting together for a meeting. We met HE IS A GREAT GUY!,12/20/16,15663,68359
especially how to get people even with an unlimited budget out to vote in the vital swing states ( and more). They focused on wrong states,12/20/16,8936,42412
"Bill Clinton stated that I called him after the election. Wrong he called me (with a very nice congratulations). He ""doesn't know much"" ...",12/20/16,18772,79039
We did it! Thank you to all of my great supporters we just officially won the election (despite all of the distorted and inaccurate media).,12/19/16,59296,223249
Today there were terror attacks in Turkey Switzerland and Germany - and it is only getting worse. The civilized world must change thinking!,12/19/16,39339,114387
If my many supporters acted and threatened people like those who lost the election are doing they would be scorned &amp; called terrible names!,12/18/16,36450,135369
We should tell China that we don't want the drone they stole back.- let them keep it!,12/18/16,17978,65643
Thank you Alabama! From now on it’s going to be #AmericaFirst. Our goal is to bring back that wonderful phrase:… https://t.co/4UAazd7TmF,12/18/16,12972,54845
China steals United States Navy research drone in international waters - rips it out of water and takes it to China in unprecedented act.,12/17/16,19390,60926
"Mobile Alabama today at 3:00 P.M. Last rally of the year - ""THANK YOU ALABAMA AND THE SOUTH"" Biggest of all crowds expected see you there!",12/17/16,8227,40187
Last night in Orlando Florida was incredible - massive crowd - THANK YOU FLORIDA! Today at 3:00 P.M. I will be in Alabama for last rally!,12/17/16,6411,36034
Thank you Florida. My Administration will follow two simple rules: BUY AMERICAN and HIRE AMERICAN! #ICYMI- Watch:… https://t.co/3vgtzSJsFu,12/17/16,11064,43359
#ThankYouTour2016 Tonight- Orlando Florida Tickets: https://t.co/JwQeccp79NTomorrow- Mobile AlabamaTickets:… https://t.co/Cq5AwcuzT9,12/16/16,7043,27831
"Well we all did it together! I hope the ""MOVEMENT"" fans will go to D.C. on Jan 20th for the swearing in. Let's set the all time record!",12/16/16,18146,70675
Are we talking about the same cyberattack where it was revealed that head of the DNC illegally gave Hillary the questions to the debate?,12/16/16,33487,109285
