text,created_at,retweet_count,favorite_count
A GREAT day in South Carolina. Record crowd and fantastic enthusiasm. This is now a movement to MAKE AMERICA GREAT AGAIN!,12/31/15,1706,5715
"I predict that dying @UnionLeader newspaper which has been run into the ground by publisher ""Stinky"" Joe McQuaid will be dead in 2 years!",12/31/15,897,3261
A lovely letter from the daughter of the late great John Wayne. Our country could use a John Wayne right now. https://t.co/RhN5gVNBqM,12/30/15,2951,6992
Great poll- thank you Nevada!#MakeAmericaGreatAgain #Trump2016 https://t.co/9Lr1v6vjJb,12/30/15,1728,4376
I'm going to be live with @ericbolling and @kimguilfoyle to ring in the New Year 2016. Everybody should tune in to @foxnews tomorrow night!,12/30/15,2050,5247
Thank you Hilton Head South Carolina! #MakeAmericaGreatAgain #Trump2016 https://t.co/TBAD5MeYCE,12/30/15,1493,4420
Thank you Hilton Head South Carolina! @SCTeamTrump #Trump2016 https://t.co/RLCz17tIas https://t.co/L5IAlbsdkw,12/30/15,1227,3705
I never thought I'd be saying this but I've really enjoyed  @RichLowry on television lately and he was terrific hosting @seanhannity,12/30/15,912,3279
Joe McQuaid (@deucecrew) is desperately trying to sell the @UnionLeader. It's a loser and my comments haven't helped him much.,12/30/15,766,2488
The dying @UnionLeader newspaper in NH is in turmoil over my comments about them- like a bully that got knocked out!,12/30/15,1052,3166
Iowa was fantastic last night amazing crowd and people. I'm now in Florida getting ready to go to South Carolina. Big crowd very exciting,12/30/15,1317,4686
.@CharlesHurt   You were great on @seanhannity last night. Thanks for the nice words. MAKE AMERICA GREAT AGAIN!,12/30/15,699,2555
THANK YOU Council Bluffs Iowa! The silent majority is silent no more!#Trump2016 #FITN https://t.co/VTAe68eQ1k https://t.co/IPsJPVH5JP,12/30/15,2427,6461
Joe McQuaid (@deucecrew) of the dying Union Leader wanted ads lunches donations speeches from me and tweets---very unethical.,12/30/15,1121,3397
The great people of New Hampshire who I love are not properly served by the dying Union Leader newspaper.,12/30/15,1235,3793
Shows how dumb Joe McQuaid (@deucecrew) of the dying Union Leader is to put out the letter I wrote saying why I didn't do his failed debate!,12/30/15,849,2810
I hope @TGowdySC does better for Rubio than he did at the #Benghazi hearings which were a total disaster for Republicans &amp; America!,12/29/15,2194,5144
We need a real President! https://t.co/nw7BIAW7HV,12/29/15,1936,5643
Looking forward to being in Council Bluffs Iowa later today. Despite weather rally is on -- will be fantastic! #MakeAmericaGreatAgain!,12/29/15,1313,4710
So I have spent almost nothing on my run for president and am in 1st place. Jeb Bush has spent $59 million &amp; done. Run country my way!,12/29/15,4172,10349
My campaign for president is $35000000 under budget I have spent very little (and am in 1st place).Now I will spend big in Iowa/N.H./S.C.,12/29/15,3614,9464
Minorities line up behind.....Donald Trump #Trump2016 #MakeAmericaGreatAgain https://t.co/cEMKihLZbK https://t.co/SxuutW2onm,12/29/15,2344,4982
.@jessebwatters is terrific at hosting on @FoxNews - he really gets it!,12/29/15,1115,3796
Remember that Bill Clinton was brought in to help Hillary against Obama in 2008. He was terrible failed badly and was called a racist!,12/29/15,2400,5793
Thank you- Nashua New Hampshire! #MakeAmericaGreatAgain #Trump2016 #NHPolitics #FITN https://t.co/QPj5gb3wib https://t.co/I1lMmcYk3l,12/29/15,1004,3004
Thank you! #Trump2016 https://t.co/dTL7uybyeH https://t.co/yhQUQiuswl,12/28/15,1571,4737
Thank you to a #Trump2016 supporter for this video of my campaign- over the past 6 months. Video: https://t.co/yawywElMwa,12/28/15,1473,3912
Strange but I see wacko Bernie Sanders allies coming over to me because I'm lowering taxes while he will double &amp; triple them a disaster!,12/28/15,3979,9761
Wages in are country are too low good jobs are too few  and people have lost faith in our leaders.We need smart and strong leadership now!,12/28/15,3635,9838
Many of the great jobs that the people of our country want are long gone shipped to other countries. We now are part time sad! I WILL FIX!,12/28/15,2964,7975
The middle-class has worked so hard are not getting the kind of jobs that they have long dreamed of - and no  effective raise in years. BAD,12/28/15,3180,9155
If Hillary thinks she can unleash her husband with his terrible record of women abuse while playing the women's card on me she's wrong!,12/28/15,6737,15153
Hopefully the Republican National Committee can straighten out the total mess that is taking place in Virginia's Republican Party. FAST!,12/28/15,2148,6263
Straighten out The Republican Party of Virginia before it is too late. Stupid!  RNC,12/27/15,2233,5562
.@BernieSanders-who blew his campaign when he gave Hillary a pass on her e-mail crime said that I feel wages in America are too high. Lie!,12/27/15,1985,5152
The voters the Republican Party of Virginia are excluding will doom any chance of victory. The Dems LOVE IT! Be smart and win for a change!,12/27/15,1734,4349
R.P.Virginia has lost statewide 7 times in a row. Will now not allow desperately needed new voters. Suicidal mistake. RNC MUST ACT NOW!,12/27/15,1704,3979
It begins Republican Party of Virginia controlled by the RNC is working hard to disallow independent unaffiliated and new voters. BAD!,12/27/15,2729,5439
I will do far more for women than Hillary and I will keep our country safe something which she will not be able to do-no strength/stamina!,12/27/15,4101,11075
Thank you! #Trump2016https://t.co/CE9f0mukFm https://t.co/XNV9Bg2ccY,12/27/15,2366,7862
Hillary Clinton has announced that she is letting her husband out to campaign but HE'S DEMONSTRATED A PENCHANT FOR SEXISM so inappropriate!,12/27/15,4520,10585
A new terror warning was issued for European cties. At what point do we say we have had enough and get really tough and smart. Weak leaders!,12/26/15,4838,10845
#MakeAmericaGreatAgain #Trump2016 Story: https://t.co/PBOKbGIaVB https://t.co/wm9Y7E9RzB,12/26/15,1537,4348
Criminal deportations in the U.S. are the lowest number in many years. We are letting criminals knowingly stay in our country. MUST CHANGE!,12/26/15,4318,11047
The Phoenix V.A. it has just been reported is in worse shape than ever before. The wait is horrendous and people are dying. I will fix it,12/26/15,2870,8025
The same people that said I wouldn't run or that I wouldn't lead or do well (1st place and leading by 21%) now say I won't beat Hillary.,12/25/15,5023,12650
.@chucktodd is so dishonest in his reporting...and to think he was going off the air until I came along-no ratings. I will beat Hillary!,12/25/15,1695,6108
@CNN just announced that TRUMP was #1 story of 2015. Totally meaningless however if we don't WIN IT ALL and Make America Great Again!,12/25/15,1355,3129
"When will the Democrats and Hillary in particular say ""we must build a wall a great wall and Mexico is going to pay for it?"" Never!",12/25/15,2042,5823
Our great VETERANS are being treated very badly because of corruption and incompetence at the V.A. That will stop I will fix this quickly!,12/25/15,3438,9374
Remember when failed candidate @JebBush said that illegals came across the border as AN ACT OF LOVE? He's spent $59 million and is at 3%.,12/25/15,2169,6552
We have many problems in our house (country!) and we need to fix them before we let visitors come over and stay. MAKE AMERICA GREAT AGAIN!,12/25/15,3395,9095
Does everyone see that the Democrats and President Obama are now because of me starting to deport people who are here illegally. Politics!,12/25/15,3053,8560
.@deedeesorvino was GREAT today on @FoxNews  She gets what is going on in politics and sees it very clearly. Have her on more!,12/25/15,852,3089
Merry Christmas to all. Have a great day and have a really amazing year. Together we will MAKE AMERICA GREAT AGAIN! It will be done!,12/25/15,10303,27184
.@danielhalper  Great job on @CNN today. Very wise indeed!,12/25/15,683,2824
.@HallieJackson Why didn't you report Hillary lying about the ISIS video. Bad reporting. Perhaps @NBC will do better next year-but doubt it!,12/25/15,1743,5443
I am now in Palm Beach Florida and will be going to church tonight. MAKE AMERICA GREAT AGAIN!,12/24/15,2910,10005
.@meetthepress and @chucktodd very dishonest in not showing the new @CNN Poll where I am at 39% 21points higher than Cruz. Be honest Chuck!,12/24/15,1374,4092
Why isn't @chucktodd using the much newer @CNN Poll when discussing how well I am doing instead of the older Q Poll? CNN even better!,12/24/15,1002,3568
Wow because of the pressure put on by me ICE TO LAUNCH LARGE SCALE DEPORTATION RAIDS. It's about time!,12/24/15,2748,7100
Next year will be an interesting one. I look forward to running against Hillary Clinton a totally flawed candidate and beating her soundly,12/24/15,9779,19618
Third rate reporters Amy Chozick and Maggie Haberman of the failing @nytimes are totally in the Hillary circle of bias. Think about Bill!,12/24/15,1230,3801
Wow even lowly Rand Paul has just past @JebBush in the new @CNN Poll. Jeb is at 3% I'm at 39%. Stop throwing your money down the drain!,12/24/15,2022,6066
In the ridiculous @JebBush ad about me Jeb is speaking to me during the debate but doesn't allow my answer which destroys him - SO SAD!,12/24/15,1251,4910
Poor @JebBush spent $50 million on his campaign I spent almost nothing. He's bottom (and gone) I'm top (by a lot). That's what U.S. needs!,12/24/15,4100,11126
